Assistive Technology,DOI,ID,Title,Guidelines for Developers,Page Nos,Chart Type,Sensory Modality,Descriptions,Paper Reference (Quotes),Information Granularity,Keywords,Contribution Type,Venue,Parents Pertain,Students Pertain,Teachers Pertain,Perception Channel
None,https://doi.org/10.1145/3441852.3471202,#1,Understanding Screen-Reader Users’ Experiences with Online Data Visualizations,Use Alt text and ARIA attributes to make visualization elements discoverable,12,NONE,None,"Because visualization elements are usually not seen by screen readers, this guideline recommends visualization creators to use ARIA attributes to improve the discoverability of the visualization elements.",We recommend developers and visualization creators to adequately provide alternative text and use ARIA attributes to improve the discoverability of the visualization elements.,,None,None,None,,,,
None,https://doi.org/10.1145/3441852.3471202,#2,Understanding Screen-Reader Users’ Experiences with Online Data Visualizations,Use Alt text and data table together to improve users' exploration preferences ,12,NONE,None,Alt text available usually contain summary of the data within the visualization while data tables contain detailed information about the data. It is recommended that both are used to meet users' changing needs about data interpretation ,"Though alternative text can support gaining a holistic overview, it is usually not comprehensive enough to allow understanding the data in detail. In contrast, data tables allow exploration of the data in detail, but adds a mental burden for screen-reader users to process all data and lacks efficient support for gaining a holistic overview. We recommend providing support for both to better support screen-reader users’",,None,None,None,,,,
None,https://doi.org/10.1145/3441852.3471202,#3,Understanding Screen-Reader Users’ Experiences with Online Data Visualizations,Alt text content should contain underlying data for adequate data interpretation,12,NONE,None,"Alt text available is usually not sufficient and it is dependent on developer's contextual understanding of data and limits. This guideline recommends that as with previous study, alt-text are dynamically generated within the context of the underlying data","alternative text is rarely available, and when it is, it is mostly inadequate. Additionally, the quality of the alternative text primarily depends on the developer, which can produce inconsistencies in visualization interaction experiences for screen-reader users from one visualization to another. Therefore, we recommend dynamically generating alternative text as proposed in earlier works.",,None,None,None,,,,
None,https://doi.org/10.1145/3441852.3471202,#4,Understanding Screen-Reader Users’ Experiences with Online Data Visualizations,Multiple sensory channels should be provided for users to reduce exploration time,12,NONE,None,"Screen-readers are usually constrained to one way of interacting with data visualizations e.g. Speech. Sometimes when they encounter complex visualizations it becomes very difficult to access data contexts quickly. This guideline recommends providing screen-readers with multi-modal method (combining speech, haptic, keyboard) of interacting with visualizations","Presenting screen-reader users with multiple modes for exploring visualizations would improve their overall experience with online data visualizations.This is especially true in the case of complex visualizations, which would likely require more exploration time",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#5,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,The context of shapes and positions of chart should be sustained for data integrity,8,NONE,None,"Because blind-users are already familiar with what an ideal structure of visualizations should be, the paper recommend that the visual construct of the original visualization should be retained. Examples are: (D1) - Horizontal bar charts should be sonified from left to right; 2D visualizations can be sonified in zig-zag, up-down, left-right pattern;Pie charts should be sonified in circular motion starting at 12'O clock; Sonification can be mapped across the characteristics of data;Spatial audios can provide references based on users' body position; Bar and Pie charts can be sonified into individual building blocks e.g axes;","Our findings indicate that blind individuals tend to already be aware of the visual structures used in common charts from lived experience, even if they were born blind. Rather than entirely discarding existing visual structure in favor of new structures based on alternate senses, we recommend focusing on better translation of visual structures such as marks and encoding.",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#6,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Multimodal channels should be used for clarity of visual and non-visual data,8,NONE,None,"Screen readers will like visual insights in cases such as Maps, the paper recommends that both speech and non-speech modes are provided to complement visualizations. For example, When a person looks at a map, they may use both sound and touch to get a better understanding of the map. By touching the map, they can feel the different textures of the paper and understand the different elevations and contours of the land. By listening to someone describe the map, they can also understand the map.",D2. Use a combination of sound—speech and non-speech—and touch modalities to translate visual and interactive representations.,,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#7,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Provide sound and haptic controls to meet different users' exploration pace,8,NONE,None,"Because of the differences in how fast users make meaning out of visualizations, it is important to support their learning pace for meaning making. The paper recommends that Non-visual sensemaking can be enhanced through customization and calibration of modal encoding that will effectively support their graphical perception.","D3:Supporting interaction is more important for non-visual; Allow customization and calibration of modal encoding to effectively support accessible graphical perception.
sensemaking than visual sensemaking.",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#8,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Sound feedback to users should specify whether it is data-related and interface-elements related for clarity,8,NONE,None,"Visualization users are provided with too many information that might make them loose focus on data insights. These information are either interface-related or data visualization related. However, This guideline recommends that users are provided with priority based information by distinugishing between interface-related information (communication to users about the interface) and data-related (communication to users about the data).",D4. Clearly distinguish interface-related modal feedback from data-related modal feedback.,,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#9,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Spatial 2D or 3D dimensions should be provided as speech cues for accurate navigation,9,NONE,None,"Visualizations in 2D and 3D spaces does not clearly convey mapping between spatial dimension (2D or 3D) to the soundscape that give users the actual perspective of the data. This guideline recommends that dimensional spaces be specified for 2D and 3D charts. For example, sounds in a 3D space should be positioned according to their location in the physical world (a sound coming from the left side of the listener should be played from the left)","When using sound, clearly convey mapping between spatial dimension (2D or 3D) to the soundscape.",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#10,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Use tactile graphics and haptic feedback when spatial concepts are to be communicated clearly,9,NONE,None,"Blind and visually impaired users understand concepts presented using tactile graphics. This guideline recommends that spatial visualizations are tailored towards using tactile charts in a circuit diagram form.  For example, by touching a diagram of a simple electrical circuit, a blind person can understand how the circuit works.","When possible, use tactile representations and haptic feedback to provide chart overviews. using haptic and audio feedback allows blind and visually impaired individuals to effectively understand geometric and spatial concepts such as circuit diagrams ",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#11,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Use layers of summary and details to minimize all sensory information leading to cognitive overload,9,NONE,None,"Blind and visually impared can be overwhelmed by information provided in details. This guideline recommends that users should use interactions to view layers of information. For example, you can use a slider to control the amount of data displayed on a chart. You can also use buttons to control the amount of sensory information displayed.",D9. Avoid sensory overload by using interactions to view layers of information—both raw data and sensory,,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#12,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,New sensory technology should run parallel with existing ones (multi-modal) for usability,9,NONE,None,Blind and visually impaired have challenges adapting to new technologies abruptly,"Clearly define and evaluate usability, and support various levels of analytical tasks;  participants also echoed concerns about the unfamiliarity of audio based charts, and recommended that we design solutions that are “easy to learn” and support “all” data needs",,None,None,None,,,,
None,https://doi.ieeecomputersociety.org/10.1109/TVCG.2021.3114829,#13,Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study,Designers should always adopt early inclusive designs to minimize high technology costs,9,NONE,None,"Blind and visually impaired persons have socio-technical issues (social, cultural, cost, technical feasibility) that will suggest for example, how affordable or accessible visualizations are. This guideline recommends involving them early in accessible designs. ","Consider socioltechnical factors to build sustainable, holistic, and cost-effective solutions; Finally, incorporating sociotechnical considerations into the research process will help overcome issues related to technology costs, simplistic solutions, and inaccurate assumptions",,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517678,#14,Supporting Accessible Data Visualization Through Audio Data Narratives,Alt text should provide a text description before the actual data to avoid overlapping information that becomes ambiguous to visualization users,5,NONE,None,How users make meaning of visualizations is dependent on how they are presented with relevant information about them. This guideline suggests that users are presented information starting from data description and followed by the actual data. ,"The description segment precedes (and does not overlap) the data segment to provide context, structure and set the expectation for the upcoming data sequence...The description should avoid overlapping with the sonifcation to mitigate mental load",,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517678,#15,Supporting Accessible Data Visualization Through Audio Data Narratives,Data sonification should provide users with sequence of succeding data to improve cognition,5,NONE,None,Visually impaired users don't get to know what comes next. This is important to help them make sense of the data ahead of their interaction. This guideline suggests a quick narrative of the scope of the upcoming data. For example the minimum/maximum values and data trends.,"The structure of the description segment is consistent across the narrative and describes at minimum the start and end point for the upcoming data sonifcation segment. Additionally, the description can provide external context to explain the data or highlight key points in the upcoming segment.",,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517678,#16,Supporting Accessible Data Visualization Through Audio Data Narratives,Sonification rhythmic properties such as pitch should be consistent in the visualizations to avoid misinterpretations,5,NONE,None,There are inconsistencies in sonification rhythm presented to users making it difficult to understand the visualization. This guideline recommends that sonification of the data should provide a consistent trend that the user can focus on. The narrative should also maintain a moderate number of overall segments. This allows the user to focus on a limited number of items in the overall picture.,"The impact of trend reversals on graph comprehension has been attributed to rhythmic theory that patterned sequences of notes are comprehended more easily than less structured and random combinations...D3. The sonifcation segments maintain consistenttrends, maintaining the rhythmic pattern. D4. The narrative maintains a moderate number of overall segments. Users can focus on a limited number of items in the overall picture [1]. Too long of an auditory signal and too many trend reversals, increases the number of items to remember [15]. Based on our co-design fndings, providing too many segments could also impact workload by requiring the user to constantly switch attention between speech and non-speech sounds.",,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517678,#17,Supporting Accessible Data Visualization Through Audio Data Narratives,Auditory graphs on the average should not be more than 10-12 seconds to understand data patterns,5,NONE,None,There are inconsistencies in sonification rhythm because too many data segments are presented to users making it difficult to understand the visualization. This guideline recommends that sonification segments are of a moderate duration (not too long or short).,The sonifcation segments maintain a moderate duration. Sonifcation segments should be neither too short nor too long.,,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517469,#18,What makes web data tables accessible? Insights and a tool for rendering accessible tables for people with visual impairments,Missing table headers should include mark-up to prevent inaccurate data interpretation,10,NONE,None,Sometimes users encounter missing table headers while navigating through data in tables. These missing headers are likely to mislead users. This guideline recommends that a table header (<th> element) be provided.,F1: Add mark up for header when it is missing....Screen readers will read the marked header whenever users navigate data cells across diferent cells belonging to the diferent header.,,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517469,#19,What makes web data tables accessible? Insights and a tool for rendering accessible tables for people with visual impairments,Missing rowgroup or colgroup should inlude markup for clarity on the structure of data,10,NONE,None,Data tables are made up of rows and columns. Users will move between rows and columns and will need a description heading before navigating to the actual data Row Group headers give users insight about how data is structured,"F2: Add mark up for Rowgroup or Colgroup, when it is missing... grouping of information of the table convey orientation information to users.",,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517469,#20,What makes web data tables accessible? Insights and a tool for rendering accessible tables for people with visual impairments,Blank data cells should be included in users' Alt-text descriptions for clarity of table contents,10,NONE,None,Visualization users tend to skip blank cells when they encounter them. This could lead to them misunderstanding data completely. This guideline suggests the need to include description for blank cells in narratives,"Indicate blank cells...participants unintentionally skipped the blanks, which could lead to misunderstanding the contents of the table.",,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517469,#21,What makes web data tables accessible? Insights and a tool for rendering accessible tables for people with visual impairments,Data tables should not include merged cells because its contents are not clearly communicated,10,NONE,None,Visualization users are often confused when they encounter merged cells. The paper recommends merged cells be unmerged to communicate data clearly,"Unmerge merged cells...merged cell disrupts them to
understand the table contents.",,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517469,#22,What makes web data tables accessible? Insights and a tool for rendering accessible tables for people with visual impairments,Avoid presenting users with multi-headed tables because it is difficult to navigate,10,NONE,None,Multi-heading tables are difficult to use to communicate visualizations because their structures are not clear to visualization users. This guideline recommends splitting the table into multiple simple tables so users can interprete data effortlessly,"Split tables when multi-heading exists. While a guideline offers how to structure the multi-heading tables, participants were confused about the structure, and some of them failed to understand the structure of the headings...Splitting the table into multiple simple tables will make users easy to parse the structure and understand the content.",,None,None,None,,,,
None,https://doi.org/10.1145/3491102.3517469,#23,What makes web data tables accessible? Insights and a tool for rendering accessible tables for people with visual impairments,Data tables should provide sort and filter tools for users to interprete information accurately,10,NONE,None,Users sometimes will want to make sense with specific data as compared to general data in a table. This guideline recommends that users are provided with filtering and sorting tools to quickly understand data and trends.,the capability to extract specifc information would aid the understanding of the table contents.,,None,None,None,,,,
None,https://doi.org/10.1109/TVCG.2021.3114770,#24,Accessible Visualization via Natural Language Descriptions: A Four-Level Model of Semantic Content,"Alt-text should be structured on the first level to provide basic meaningful information on elementary properties: chart type, title, y-encoding, ymin to ymax, x-encoding channel, xmin to xmax. ",8,NONE,None,"Users are not provided with sufficient information in Alt-text descriptions. This guideline recommends a standard way to be able to create understanding of charts from holistic summary to detailed information. At the elementary level the paper proposed:Type of chart Title of chart  y-encoding [plotted] on vertical y-axis from minimum value of y axis to maximum value of y. x-encoding is plotted on the horizontal x-axis from minimum value of x to maximum value of x. For example, A line chart of the number of earthquakes per year in California. The y-axis is plotted from 0 to 10,000, and the x-axis is plotted from 1950 to 2010.",[chart-type] entitled [chart-title]. [y-encoding] is plotted on the vertical y-axis from [y-min] to [y-max]. [x-encoding] is plotted on the horizontal x-axis from [x-min] to [x-max],,None,None,None,,,,
None,https://doi.org/10.1109/TVCG.2021.3114770,#25,Accessible Visualization via Natural Language Descriptions: A Four-Level Model of Semantic Content,Alt-text should be structured on the second level to provide facts on statistical concepts and relationships.,5,NONE,None,"Because users are not provided with sufficient information in Alt-text descriptions. This guideline recommends a  second level as providing statistical-related information about the data. For example, mean, median, standard deviation in the visualization","This content conveys computable descriptive statistics (such as mean, standard deviation, extrema, correlations)— what have sometimes been referred to as “data facts”.",,None,None,None,,,,
None,https://doi.org/10.1109/TVCG.2021.3114770,#26,Accessible Visualization via Natural Language Descriptions: A Four-Level Model of Semantic Content,Alt-text should be structured on the third level to provide users' perception around data,5,NONE,None,Users are not provided with sufficient information in Alt-text descriptions. This guideline recommends a  third level that suggest providing users with information that will require data perceptions and trends.,"Level 3 sentences are comprised of content that refers to these perceptual and cognitive phenomena, usually articulated in “natural”-sounding (rather than templatized) language",,None,None,None,,,,
None,https://doi.org/10.1109/TVCG.2021.3114770,#27,Accessible Visualization via Natural Language Descriptions: A Four-Level Model of Semantic Content,Alt-text should be structured on the fourth level to provide domain-related information about the data,9,NONE,None,"Furthermore, relevant to users not being provided with sufficient information in Alt-text descriptions. This guideline recommends a fourth level as suggest providing users with context and domain based information. For example,  blood pressure in the medical domain","Level 4 semantic content is at-present a uniquely human endeavor. Doing so involves synthesizing background knowledge about the world (such as geographic, cultural, and political relationships between countries), contextual knowledge about current events (e.g., the fact that there was a global recession in 2008),and domain-specific knowledge (e.g., expertise in a particular field of research or scholarship).",,None,None,None,,,,
None,http://vis.csail.mit.edu/pubs/rich-screen-reader-vis-experiences.pdf,#28,Rich Screen Reader Experiences for Accessible Data Visualization,Tables should contain a maximum of 19 rows of data to promote memorability,8,NONE,None,Users encounter difficulties accessing data in tables when the table contains a lot of data. This makes it difficult for them to get a general sense of it by scrolling through. This guideline reported on how 20-30 rows are considered as mental load by users.,"if I’m trying to get a general sense of the table, I’ll just scroll through and see what values there are. But there’s 393 rows, so I’ll never scroll through all of it. Participants tabbed through 20–30 rows during our sessions, but did so only because of the questions we posed (e.g., “is there a relationship between horsepower and mileage?”) and noted that if they encountered this table outside of the study, they would tab past a few rows to check for summary statistics and then move on",,None,None,None,,,,
None,http://vis.csail.mit.edu/pubs/rich-screen-reader-vis-experiences.pdf,#29,Rich Screen Reader Experiences for Accessible Data Visualization,Spatial representations should be provided in data tables to minimize difficulties in user interaction,8,NONE,None,Users are not really familiar with spatial visualizations because of its complexities and they do not not have a lot of experience with them. This guideline suggests converting spatial visualization into tables. ,"Participants who had experience conducting data analysis or reading tactile graphs/maps were able to easily develop a spatial understanding...I suspect that this might be understandable to someone who’s done this before,” he said, “I don’t do well with these charts unless they’re converted back into tables.",,None,None,None,,,,
None,http://vis.csail.mit.edu/pubs/rich-screen-reader-vis-experiences.pdf,#30,Rich Screen Reader Experiences for Accessible Data Visualization,Use data tables to present hierarchical representations of data for clarity,9,NONE,None,Users understands scatter plots if presented in a hirarchical table format. This guideline recommends that scatter plots to be simplified for users in data table.,"I had a rough representation of it as a scatterplot. But here, I know how to drill down and up between different layers of data grids, so that I can get the overall picture. Structure: Hierarchical representations make it possible to effectively convey insights with minimal cognitive load.",,None,None,None,,,,
None,http://vis.csail.mit.edu/pubs/rich-screen-reader-vis-experiences.pdf,#31,Rich Screen Reader Experiences for Accessible Data Visualization,"Multi-navigational methods (structural, spatial, and target navigation) should be provided for users to reduce cognitive load and enhance the meaning-making of data stories",9,NONE,None,"When reading a visualization with a screen reader, users memorize data repeatedly to continue to make sense of the data. This guideline recommends  multi-navigational options to reduce cognitive load while making sense about the data.","Navigation: Reading a visualization with a screen reader entails constant hypothesis testing and pattern-making. Reading a visualization as a process of slowly building up a mental model and constantly testing it to see where the patterns may no longer hold. ..The ability to use structural, spatial, and target navigation in both MULTI-VIEW and TARGET respectively facilitated the hypothesis-testing and pattern-making behaviors that our participants were accustomed to with static tables, and gave them an additional mental model for working with the data",,None,None,None,,,,
None,http://vis.csail.mit.edu/pubs/rich-screen-reader-vis-experiences.pdf,#32,Rich Screen Reader Experiences for Accessible Data Visualization,Cursors and Markers should be provided to audience to help users keep track of their locations while interacting with any kind of visualization,9,NONE,None,"Users of visualizations will like to be able indicate their current location within a visualization, move from data summary to detailed information. This guideline recommends that users are provided with markers. Since markers can be used to navigate to any other part of the visualization and it will allow them to explore the data in more detail while still retaining a high-level view.","Description: Cursors and roadmaps are important for understanding where you are. Being able to capture both a high-level overview of the information while preserving the ability to drill
down into the data is a crucial component to accessing interactive
visualizations [SCWR21]. To navigate between these two levels,
however, our participants emphasized the importance of markers to
help them understand where they could move. TARGET addressed
this with dropdown menus that allowed participants to navigate to
any part of the visualization, explore, and then return to where they
had started.",,None,None,None,,,,
None,http://vis.csail.mit.edu/pubs/rich-screen-reader-vis-experiences.pdf,#33,Rich Screen Reader Experiences for Accessible Data Visualization,All visualizations should provide tooltips for screen magnifiers as location pointers to prevent users from missing navigation steps,10,NONE,None,Users who use magifiers sometimes have to go back and forth between axes and data values. This guideline recommends providing users with in situ tooltips as they would allow users to view data values without having to scroll.,"Magnifier users also wished for in situ tooltips, which would eliminate the need to scroll back and forth between points and axes to understand data values.",,None,None,None,,,,
None,None,#34,Photosensitive Accessibility for Interactive Data Visualizations,Visualizations should not produce 3 flashes per second if frequency is likely to exceed 350ms (both combinations are seizure-induced indicators).,5,NONE,None,"Different users will interact with visualizations at different speeds, which will in turn produce internal element flicker and adjacent element flicker at different frequencies. This guideline suggests that the maximum frequency of a given flicker should not exceed 350ms for 3 flashes per second. ","A flicker may be hazardous if it includes more than 3 flashes (i.e., pairs of opposing changes in relative luminance) in any one-second period. Any flicker that occurs at a rate greater than 3 times per second may be considered hazardous, depending on whether the other two thresholds are exceeded. Different users will interact with visualizations at different speeds, which will in turn produce internal element flicker and adjacent element flicker at different frequencies, but a degree of authorial control over flicker frequency can be found in some scenarios. Visualization creators can exert authorial control over the maximum frequency of a given flicker by attaching gradual transitions with a duration greater than 350ms to user interaction events.",,None,None,None,,,,
None,None,#35,Photosensitive Accessibility for Interactive Data Visualizations,"Flickers should not occupy the area of any interactive visualization (bar chart, pie chart, scatter plot) with visual angle ≥ 0.006 steradians because it is seizure inducing.",5,NONE,None,Users are likely to encounter flickers that can occupy the entire visualizations and increases the risk of inducing seizures. This guideline recommends putting constraint on the zoom size to make it easier for users to explore data without inducing seizures.,"In terms of interactive data visualizations, this means that elements that change colors in a visualization are more likely to be dangerous if they occupy a large area (e.g., areas in an area chart) rather than a small area (e.g., points on a scatterplot). Visualization creators can control the initial size of visual elements and their relative size within the visualization. They can also place limits on zoom behavior to restrict
how large an element can become (e.g., D3’s scaleExtent) or choose not to implement zooming at all in the visualization.",,None,None,None,,,,
None,None,#36,Photosensitive Accessibility for Interactive Data Visualizations,"To prevent seizure-induced animated visualizations, use d3-trasition feature to control the frequency of flickers to at least 350ms",6,NONE,None,Because users are likely to encounter flickers that are seizure inducing. This guideline recommends D3 visualizations that provide d3-transitions functionality with frequency control over flickers (rate of changes to brigthness and contrast ratio),"The frequency and color thresholds, in contrast, can be robustly controlled by visualization creators to ensure that visualizations are not capable of producing seizure-inducing flickers...The frequency at which a flicker occurs in a visualization can be limited to stay below the safety threshold by applying a gradual transition with a duration of at least 350ms",,None,None,None,,,,
None,None,#37,Photosensitive Accessibility for Interactive Data Visualizations,"To prevent seizure-induced interactive visualizations, the relative relationship betwen luminance of light color (l1) and dark color (l2) should be 0-1.",6,NONE,None,Users of animated visualizations will not encounter seizure induced effect if creators minimize the ratio of light colors to dark colors in visualizations. This guideline recommends that the relative relationship betwen luminance of light color (l1) and dark color (l2) should be 0-1. Indicators of seizure inducing visualizations are around: L1−L2 > 0.1×L1 and L2 < 0.8.,"More specifically, photosensitive risk is determined by the difference in relative luminance between the brighter color (L1) and the darker color (L2). Relative luminance is a normalized value between 0 and 1 representing the relative brightness of any point in a colorspace [1]. If L1−L2 > 0.1×L1 and L2 < 0.8, the general flash may be hazardous.",,None,None,None,,,,
None,None,#38,Photosensitive Accessibility for Interactive Data Visualizations,Visualization elements should replace red with other colors because of its photosensitive risk on users,6,NONE,None,Many people with photosensitivity are particularly sensitive to the color red. This guideline recommends that creators avoid using red flashes in animated visualizations as it will produce seizure-induced effect on users.,Many people with photosensitivity are particularly sensitive to the color red.,,None,None,None,,,,
None,None,#39,Photosensitive Accessibility for Interactive Data Visualizations,"Visualization elements e.g. bars should start with initial fill color ""ffffff"" to apply focus color-change ratio to limit seizure triggers
",7,NONE,None,"Certain color combinations of colors (from initial to focus trigger) will have a seizure-inducing effect on users. This guideline suggests such combinations to avoid as: ""fill-initial"": ""1f77b4"", + ""fill-focus"": ""A52a2a; ""fill-initial"": ""aec7e8"",
+ ""fill-focus"": ""A52a2a; ""fill-initial"": ""Ff7f0e"",+ ""fill-focus"": ""A52a2a""","The visualization specification may include a background element (indicated by the ID attribute) to specify a background color other than the customary white (#FFFFFF). Elements may also have the following optional attributes to capture more specific interaction behaviors:focus-fill, focus-opacity, initial-stroke and focus-stroke
",,None,None,None,,,,
None,None,#40,Photosensitive Accessibility for Interactive Data Visualizations,Visualization elements initial fill color and focus color-change sequences should be about 4.82 to 7.08 to prevent seizure triggers,8,NONE,None,"Certain color combinations of colors (from initial to focus trigger) will have a seizure-inducing effect on users. This guideline suggests congtrast ratios for initial to focus fill considered as good and insufficient as follows: Good contrast ratio (4.82); Good contrast ratio (7.08), Insufficient contrast ratio (1.73); Insufficient contrast ratio (2.53)","we discussed three characteristics of a flicker (size, frequency, and color) that determine whether or not it is considered seizure-inducing. A visualization with photosensitive-safe colors is robustly safe regardless of individual interaction behavior, but determining whether the colors in a visualization are capable of producing dangerous flicker is a nontrivial problem. The same colors used in various ways can produce visualizations with vastly different levels of photosensitive risk...Figure 7 for contrast ratios",,None,None,None,,,,
None,https://doi.org/10.1145/355789,#41,The Accessibility of Data Visualizations on the Web for Screen Reader Users: Practices and Experiences During COVID-19,Visualization narratives should include information while it is loading and when loaded in order not to mislead users,18,NONE,None,Sometimes visualizations are not loaded immediately a screen reader access the page. The users are not informed while these visualizations are in the process of loading onto a page and when the loading is completed. This guideline recommends that these notifications on the progress of loading visualizations on a page should be available to users in narrative form.,"3.11.1 The need to make the presence of visualizations explicit. Several visualizations took time to load, but the loading process was only perceivable through a visual icon. None of the visualization was accessible while loading and no screen reader notiication was provided after loading",,None,None,None,,,,
None,https://doi.org/10.1145/355789,#42,The Accessibility of Data Visualizations on the Web for Screen Reader Users: Practices and Experiences During COVID-20,Spatial relationships between values and labels should be included in visualization narratives to avoid confusing users while navigating,19,NONE,None,Screen readers are not able to identify the spatial properties of a visual representation. They are not able to identify the position of a value or the relationship between two values. This guideline recommends that visual representations are made available for screen readers in text descriptions,"Visual representations make use of spatial properties to group and connect information. Screen readers are not spatial, but rely on reading order, navigation structures, and explicit wording to communicate groupings and make connections between values and labels. Auditors observed how many of the websites rated poorly for data accessibility do not communicate these spatial relationships to screen reader users, resulting in disorientation and confusion, both when exploring within and navigating between visualizations. When exploring within visualizations, auditors described having to make inferences about groupings between labels and values based on reading order, which sometimes led to misinterpretation of these groupings altogether, especially if the reading order is illogical or inconsistent. ",,None,None,None,,,,
None,https://doi.org/10.1145/355789,#43,The Accessibility of Data Visualizations on the Web for Screen Reader Users: Practices and Experiences During COVID-21,Location cues and pointer narratives around visualizations should be provided to users not to miss crucial information.,19,NONE,None,"Screen readers need clear orientation and guidance cues to help them navigate visualizations on webpages. Without these cues, it can be difficult for screen readers to understand where they are on the page and to keep track of changes outside of their focus. This guideline suggests that users be provided with navigation cues to move around visualization. For example, if they skip a location mistakenly while navigating through visualizations, they should be able to go back ","3.11.3 The need for orientation and guidance cues for screen readers to navigate visualizations in the context of webpages. A common analogy relates the screen reader experience to looking at a screen through a straw because only a small portion of the page is read at a time. Additionally, the location of the screen reader focus is often not conveyed. Together, these limitations makes situating screen reader focus within the context of the web page and understanding changes outside of the screen reader focus diicult...A2 described how it was easy to get lost in the list, but was afraid of skipping past it and missing crucial information",,None,None,None,,,,
