User,DOI,Title,Author,Year Published,Study Design,Research Method,Summary/Notes,Implications,Further Research Opportunities?,Keywords,Outcome Measures,Study Location,Parents Pertain,Students Pertain,Teachers Pertain,Study Focus,User,Task,Chart Type,Interaction,Information Granularity,Sensory Modality,Assistive Technology,Contribution Type,Perception Channel
"Blind, Low vision ",10.1145/3313831.3376367,"Tactile Presentation of Network Data: Text, Matrix or Diagram?",,2020,,,,,,Accessibility; Blindness; Vision Impairment; GraphVisualization; Adjacency Matrix,,,,,,,"Blind, Low vision ",Read,"Node-link diagram, Matrix diagram",None,"Overview, Detail",Tactile graphic,Embosser,Empirical Research,Touch
Blind,10.1111/coin.12227,An automated approach for the recognition of intended messages in grouped bar charts,,2019,,,,,,,,,,,,,Blind,Read,Bar chart,None,Overview,Speech,Screen reader,Artifact,Sound
Visually impaired,10.1007/978-3-030-29381-9_16,"Comparing User Performance on Parallel-Tone, Parallel-Speech, Serial-Tone and Serial-Speech Auditory Graphs",,2019,,,,,,Auditory feedback; Auditory graphs; Human computer interaction; Sonification,,,,,,,Visually impaired,Read,Bar chart,None,"Overview, Detail (comparison to Overview)","Sonification (tone), Speech","Screen reader,  Sound synthesizer",Empirical Research,Sound
"Visually impaired, Blind, Low vision",10.1145/3308561.3353804,RoboGraphics: Dynamic tactile graphics powered by mobile robots,,2019,,,,,,Accessibility; Blindness; Education; Robots; Tactile; Tangible User Interfaces,,,,,,,"Visually impaired, Blind, Low vision",Read,Bar chart,Navigate,"Overview, Detail ","Tactile graphic, Speech","Touch screen tablet, Static tactile objects, Small mobile robots",Artifact,"Sound, Touch"
Blind,10.1109/VISUAL.2019.8933762,Sociotechnical Considerations for Accessible Visualization Design,,2019,,,,,,Accessibility; Accessibility technologies; Human-centered computing; Visualization; Visualization design and evaluation methods,,,,,,,Blind,Read,Line chart,None,"Overview, Detail","Tactile graphic, Braille",3D Printer,Methodological,Touch
Blind,10.1145/3316782.3316793,"SVGPlott: An accessible tool to generate highly adaptable, accessible audio-tactile charts for and from blind and visually impaired people",,2019,,,,,,"Accessible graphics; Audio-tactile charts; Automation tool; Blind and visually impaired people; Data visualization; Effective design; Tactile charts, Data visualization; Graphical user interfaces; Accessible graphics; Audio-tactile charts; Automation tools; Blind and visually impaired; Tactile charts; Graphic methods",,,,,,,Blind,Create,"Bar chart, Line chart, Scatter plot",Visualize,"Existence, Overview, Detail","Tactile graphic, Speech, Braille","Screen reader, Keyboard, Audio-tactile device (TTT, IVEO), Braille display (Pin matrix device), Embosser",Artifact,"Sound, Touch"
Visually impaired,10.1177/0145482X19876463,The Comprehension of STEM Graphics via a Multisensory Tablet Electronic Device by Students with Visual Impairments,,2019,,,,,,accessible graphics; multimodal feedback; STEM education; tactile feedback; touchscreens; vibrations,,,,,,,Visually impaired,Read,"Pie chart, Bar chart, Line chart, Map",None,"Overview, Detail","Haptic Feedback, Speech, Braille , Tactile graphic","Touch screen tablet, Embosser",Empirical Research,"Sound, Touch"
Visually impaired,10.1111/cgf.13686,Visualizing for the Non‐Visual: Enabling the Visually Impaired to Use Visualization,,2019,,,,,,,,,,,,,Visually impaired,Read,"Bar chart, Line chart, Pie chart",None,"Existence, Detail",Speech,Screen reader,Artifact,Sound
"Visually impaired, Blind ",10.1007/978-3-319-94274-2_24,A user study to evaluate tactile charts with blind and visually impaired people,,2018,,,,,,"Accessibility; Blind and visually impaired users; Effective design; Information graphics; Remote user study; Tactile charts; Tactile graphics, Data visualization; Human rehabilitation equipment; Pattern recognition; Surveys; Accessibility; Blind and visually impaired users; Effective designs; Information graphics; Remote users; Tactile charts; Tactile graphics; Graphic methods",,,,,,,"Visually impaired, Blind ",Create,"Bar chart, Line chart, Scatter plot, Pie chart",None,"Overview, Detail",Tactile graphic,Embosser,Empirical Research,Touch
"Blind, Low vision (highlighting, magnification)",10.1007/978-3-319-94277-3_92,An accessible interaction model for data visualisation in statistics,,2018,,,,,,Visualization; Bar chart; Blind people; Blind users; Information age; Interaction model; Interactive exploration; Pre-requisites; Statistical software; Data visualization,,,,,,,"Blind, Low vision (highlighting, magnification)",Create,Statistical chart,"Navigate, Visualize","Detail (single component), Overview (summary and major component)","Speech, Tactile graphic, Braille","Screen reader, Keyboard",Artifact,"Sound, Touch"
Blind,10.1007/978-3-319-94277-3_97,Effectiveness of tactile scatter plots: Comparison of non-visual data representations,,2018,,,,,,"Blind people, Tactile graph, Tactile table, Screen reader, Scatter plot",,,,,,,Blind,Read,Scatter plot,None,"Overview, Detail (vs Detail)","Tactile graphic, Speech, Braille","Embosser, Screen reader",Empirical Research,Touch
Visually impaired,10.1109/CCNC.2018.8319239,EvoGraphs - A jQuery plugin to create web accessible graphs,,2018,,,,,,Application programs; Customizable; Image-based; Plug-ins; Screen readers; Software applications; Visually impaired; Graphic methods,,,,,,,Visually impaired,Read,"Bar chart, Pie chart",None,"Detail, Overview",Speech,Screen reader,Artifact,Sound
"Blind, Visually impaired",10.1145/3234695.3236357,Multi modal deep learning using images and text for information graphic classification,,2018,,,,,,Assistive technology; Classification.; Deep learning; Information graphic; Multimodal machine learning,,,,,,,"Blind, Visually impaired",Read,Line chart,None,Overview,Speech,Screen reader,Artifact,Sound
Visually impaired,10.18974/tvrsj.23.1_13,Textures suitable for tactile bar charts on capsule paper.,,2018,,,,,,"blind people, tactile bar chart, solid color, dot pattern, capsule paper",,,,,,,Visually impaired,Read,Bar chart,None,Detail,Tactile graphic,Embosser,Empirical Research,Touch
Blind,10.1145/3056540.3064955,Analysis of tactile chart design,,2017,,,,,,"Design guidelines; Effective design; Information visualization; Tactile chart design, accessible charts; Tactile graphics, Design; Information systems; Blind people; Design considerations; Design support; Information visualization; Pie chart; Scatter plots; Tactile chart design, accessible charts; Tactile graphics; Graphic methods",,,,,,,Blind,Read,"Bar chart, Line chart, Pie chart, Area chart, Scatter plot",None,"Overview, Detail",Tactile graphic,Embosser,Survey,Touch
"Visually impaired, Blind",10.1007/978-3-319-67744-6_12,Improve the accessibility of tactile charts,,2017,,,,,,Accessibility; Audio-tactile charts; Blind users; Effective design; Survey; Tactile charts; Tactile graphics; User requirements,,,,,,,"Visually impaired, Blind",Create,"Bar chart, Line chart, Pie chart, Stacked Bar chart, Area chart, Scatter plot, Bubble chart, Star plot",None,"Existence, Overview, Detail",Tactile graphic,Embosser,Empirical Research,Touch
Blind,10.1109/CCNC.2017.7983287,Towards accessible graphs in HTML-based scientific articles,,2017,,,,,,,,,,,,,Blind,Create,"Bar chart, Pie chart",None,Detail,Speech,Screen reader,Empirical Research,Sound
"Blind, Sighted",10.1587/transinf.2015EDP7405,Development of tactile graph generation web application using R statistics software environment,,2016,,,,,,"Blind people; R statistical software; Tactile graphs; Tactile legibility; Web accessibility, Graph theory; Graphic methods; World Wide Web; Blind people; Statistical software; Tactile graphs; Tactile legibility; Web accessibility; Application programs",,,,,,,"Blind, Sighted",Create,"Scatter plot, Line chart, Bar chart, Pie chart",Visualize,"Detail, Overview","Tactile graphic, Braille",Embosser,Artifact,Touch
"Visually impaired, Sighted (teachers)",10.1145/2994606,Exploring Auditory Graphing Software in the Classroom: The Effect of Auditory Graphs on the Classroom Environment,,2016,,,,,,"Auditory displays, educational technologies",,,,,,,"Visually impaired, Sighted (teachers)",Create,Line chart (mathematical),"Annotate, Visualize, Navigate","Detail, Overview","Sonification, Speech","Keyboard, Speech synthesis, Sound synthesizer",Empirical Research,Sound
"Visually impaired, Blind",10.1108/JAT-10-2015-0027,ASVG − Accessible Scalable Vector Graphics: intention trees to make charts more accessible and usable,,2015,,,,,,Accessibile SVG; Accessibility; Design for all; People with disabilities; Scalable vector graphics; Usability,,,,,,,"Visually impaired, Blind",Read,SVG,Navigate,"Detail, Overview","Speech, Braille","Screen reader, Braille display, Keyboard ",Artifact,"Sound, Touch"
Visually impaired,10.1145/2700648.2809862,ChartMaster: A tool for interacting with stock market charts using a screen reader,,2015,,,,,,"Accessibility; Financial literacy; Inclusive design; Multi-modal; Non-visual; Screen reader; Stock market charts; Usability; Visual impairment, Commerce; Design; Finance; Financial markets; Graphic methods; Iterative methods; Transportation; User centered design; Accessibility; Financial literacy; Inclusive design; Multi-modal; Non visuals; Screen readers; Usability; Visual impairment; Investments",,,,,,,Visually impaired,Read,Line chart,"Derive, Filter, Guide, Select",Detail,Speech,Screen reader,Artifact,Sound
"Visually impaired, Sighted (teachers)",10.1145/2700648.2809868,The tactile graphics helper: Providing audio clarification for tactile graphics using machine vision,,2015,,,,,,Assistive devices; Case study; Finger tracking; Machine vision; Mixed-methods; Tactile graphics,,,,,,,"Visually impaired, Sighted (teachers)",Create,"Line chart, Bar chart, Map",Select (different parts of a visualization to trigger audio explanation),"Existence, Overview, Detail","Speech, Tactile graphic","Camera (image recognition), Voice recognition, Speech synthesis, Embosser",Artifact,"Sound, Touch"
Visually impaired,10.1007/978-3-319-08596-8_84,AudioFunctions: Eyes-free exploration of mathematical functions on tablets,,2014,,,,,,Application programs; Blind people; Experimental evaluation; Hardware tools; Mathematical functions; Software applications; Software solution; Sonifications; Visually impaired students; Functions,,,,,,,Visually impaired,Create,Line chart,"Select, Visualize","Detail, Overview","Sonification, Speech",Touch screen tablet,Artifact,Sound
"Low vision (three partially sighted), Blind",10.1007/978-3-319-07626-3_34,Developing a verbal assistance system for line graph comprehension,,2014,,,,,,Haptic Graph Comprehension; Verbal Assistance; Haptic interfaces; Information retrieval; Visualization; Exploration process; Graph comprehensions; Haptic explorations; Statistical graphs; Verbal Assistance; Visual exploration; Visually impaired; Visually-impaired users; Graph theory,,,,,,,"Low vision (three partially sighted), Blind",Read,Line chart,None,Overview,"Haptic Feedback, Speech",Haptic device,Empirical Research,"Touch, Sound"
Visually impaired,10.1145/2661334.2661368,Evaluating the accessibility of line graphs through textual summaries for visually impaired users,,2014,,,,,,"Accessibility; Information graphics; Natural language generation; Visual impairments,Computer graphics; Electronic document exchange; Natural language processing systems; Visual languages; Accessibility; High level knowledge; Information graphics; Informational graphics; Natural language generation; Visual feature; Visual impairment; Visually-impaired users; Graph theory",,,,,,,Visually impaired,Read,Line chart,None,Overview,Speech,Screen reader,Artifact,Sound
Visually impaired,None,Haptics visualisation of scientific data for visually impaired users,,2014,,,,,,,,,,,,,Visually impaired,Read,Line chart,Navigate (Zoom),"Detail, Overview","Haptic Feedback, Sonification, Speech","Haptic device (PHANTOM), Keyboard (shortcut navigation controls), Speech synthesis",Artifact,"Sound, Touch"
"Blind, Sighted",10.1145/2661334.2661364,Including blind people in computing through access to graphs,,2014,,,,,,Accessibility; GSK; Universal design,,,,,,,"Blind, Sighted",Create,Node-link diagram,"Visualize, Coordinate, Navigate",Detail,Speech,"Screen reader, Keyboard",Artifact,Sound
Blind,10.5555/2817919.2817921,Development and Evaluation of Two Prototypes for Providing Weather Map Data to Blind Users through Sonification,,2013,,,,,,"universal usability, disability, visualization, tablet computer, auditory interfaces, multimodal, weather, sonification, universal design, visual impairment, blindness, accessibility",,,,,,,Blind,Read,Map,"Coordinate, Filter, Navigate, Select",Detail,"Sonification, Speech, Tactile graphic","Touch screen tablet, Sound synthesizer",Artifact,"Sound, Touch"
Blind,10.1145/2533682.2533683,Evaluating a tool for improving accessibility to charts and graphs,,2013,,,,,,Assistive technology; Blind users; Charts and graphs; Field studies; Iterative design; Line graph; Set of lines; Usability studies; Graph theory; Graphic methods; Handicapped persons,,,,,,,Blind,Read,Line chart,Navigate,"Detail, Overview",Speech,"Screen reader, Keyboard",Artifact,Sound
Blind,10.1007/978-3-642-39188-0-4,Implementing disability accommodations in a widely distributed web based visualization and analysis platform - Weave,,2013,,,,,,access; accessibility; blind; disability; screen reader; universal design; vision; visualization; Weave; access; accessibility; blind; disability; Screen readers; Universal Design; Design; Flow visualization; Human computer interaction; Tools; Vision; Visualization; Weaving; Data visualization,,,,,,,Blind,Read,Line chart,None,"Existence, Overview",Speech,Screen reader,Artifact,Sound
Blind,10.1145/2384916.2384935,Learning non-visual graphical information using a touch-based vibro-audio interface,,2012,,,,,,Accessibility blind and visually-impaired assistive technology; Android programming; Audio cues; Graphs and diagrams; Haptic cues; Information graphics; Assistive technology; Audio cues; Graphs and diagrams; Haptic cues; Information graphics; Computer graphics; Pattern recognition; Interfaces (materials),,,,,,,Blind,Read,Bar chart,None,Overview,"Haptic Feedback, Speech",Touch screen tablet (electromagnetic actuator),Artifact,"Sound, Touch"
Visually impaired,10.1007/978-3-642-31534-3_76,Non-visual presentation of graphs using the Novint Falcon,,2012,,,,,,Accessible Graphs; Force Feedback; Haptic Technology; Novint Falcon; Visual Impairment; Accessible Graphs; Force feedback; Haptic technology; Novint Falcon; Visual impairment; Graph theory; Virtual reality; Visualization; Haptic interfaces,,,,,,,Visually impaired,Create,"Pie chart, Bar chart, Line chart",Visualize,Overview,Haptic Feedback,Haptic device,Artifact,Touch
Blind,10.1007/978-3-642-23774-4_5,GraVVITAS: Generic multi-touch presentation of accessible graphics,,2011,,,,,,accessibility; audio; graphics; haptic; multi-touch; speech; accessibility; audio; graphics; haptic; Multi-touch; Accessibility; Audio; Graphics; Haptic; Multi-touch; Speech; Graph theory; Speech; Graph theory; Human computer interaction,,,,,,,Blind,Read,Line chart,Navigate,"Detail, Overview","Haptic Feedback, Sonification, Speech","Touch screen tablet, Haptic device ",Artifact,"Touch, Sound"
Blind,10.1145/1978942.1979237,Handscope: Enabling blind people to experience statistical graphics on websites through haptics,,2011,,,,,,"Blind users; Haptic; Statistical graphics; Web accessibility, Assistive devices; Blind people; Blind users; Dynamic changes; Haptic; Haptics; Statistical datas; Statistical graphics; User study; Web accessibility; Web experiences; Cloud computing; Data visualization; Handicapped persons; Human computer interaction; User interfaces; Websites; Statistics",,,,,,,Blind,Read,"Tag cloud, Star rating",None,"Existence, Overview",Haptic Feedback,Haptic device (custom haptic mouse),Artifact,"Touch, Sound"
Visually impaired,10.1145/1753326.1753583,Clutching at straws: Using tangible interaction to provide non-visual access to graphs,,2010,,,,,,graphs; haptic interaction; tangible user interface; visual impairment,,,,,,,Visually impaired,Create,"Line chart, Bar chart","Visualize, Navigate","Overview, Detail","Sonification, Tactile graphic","Camera (image recognition), Static tactile objects (fiducial markers)",Artifact,"Touch, Sound"
"Visually impaired, Sighted",10.1145/1753846.1753999,Digitizer Auditory Graph: Making graphs accessible to the visually impaired,,2010,,,,,,"Assistive technology; Auditory graph; Sonification; Visually impaired, Assistive technology; Cell phone camera; Design approaches; Design goal; Digitizers; Evaluation results; Graph image; Input devices; Line graph; Multimodal displays; Software tool; Sonifications; User testing; Visually impaired; Visually impaired students; Cameras; Human engineering; Telecommunication equipment; Cellular telephone systems",,,,,,,"Visually impaired, Sighted",Read,Line chart,None,Overview,Sonification,"Camera (image recognition), OCR, Sound synthesizer",Artifact,Sound
Visually impaired,10.1145/1857920.1857925,Multimodal presentation of two-dimensional charts: An investigation using open office XML and microsoft excel,,2010,,,,,,Accessible graphs; Assistive technology; Haptic; Nonvisual charts navigation,,,,,,,Visually impaired,Read,"Line chart, Bar chart, Pie chart, Scatter plot","Guide, Navigate, Select","Overview, Detail","Haptic Feedback, Speech",Haptic device,Artifact,"Touch, Sound"
Visually impaired,10.1109/TOH.2009.44,Review of designs for haptic data visualization.,,2010,,,,,,"Haptic data visualization , haptics , non-visual visualization , haptic visualization , haptic design",,,,,,,Visually impaired,Read,"Line chart, Bar chart, Pie chart, Map",None,"Overview, Detail",Haptic Feedback,"Haptic device, Touch screen tablet",Survey,Touch
Visually impaired,10.1145/1714458.1714459,Universal design of auditory graphs: A comparison of sonification mappings for visually impaired and sighted listeners,,2010,,,,,,"Auditory display; Magnitude estimation; Visually impaired, Acoustic parameters; Auditory display; Data analysis; Data values; Design issues; Magnitude estimation; Modulation indexes; Psychophysical scaling; Scaling functions; Software designers; Sonifications; Universal Design; Vision impairments; Visually impaired; Computer software; Design; Estimation; Frequency estimation; Data visualization",,,,,,,Visually impaired,Read,Table,None,Detail,Sonification,Sound synthesizer,Empirical Research,Sound
Blind,10.1007/978-3-642-14600-8_17,Usability of accessible bar charts,,2010,,,,,,Audio description; Bar chart; Commonly used; Error rate; Grid line; Performance benefits; Sensitive devices; User study; Audio description; Audio feedbacks; Error rate; Grid line; On demands; Performance benefits; Sensitive devices; User study; Graphic methods; Graphic methods; Artificial intelligence; Computer science; Computers,,,,,,,Blind,Read,Bar chart,None,"Overview, Detail","Haptic Feedback, Speech",Embosser,Empirical Research,"Touch, Sound"
"Blind, Visually impaired",10.1145/1368044.1368053,A syntactic analysis of accessibility to a corpus of statistical graphs,,2008,,,,,,"Accessibility (Blind and Visually Impaired), Knowledge Rep- resentation, Statistical Graphs",,,,,,,"Blind, Visually impaired",Read,Line chart,None,Overview,Speech,Screen reader,Survey,Sound
Blind,10.1007/978-3-540-68123-6_43,Decision tree induction for identifying trends in line graphs,,2008,,,,,,Outlier Detection Line Graph Information Graphic Split Point Distinguishable Trend,,,,,,,Blind,Read,Line chart,None,Overview,Speech,Speech synthesis,Artifact,Sound
Visually impaired,10.1.1.142.6869,Haptic and aural graphs exploration for visually impaired users,,2008,,,,,,"Multimodal graphs accessibility, vocal and haptic feedback, accessibility for visual impairments",,,,,,,Visually impaired,Read,Line chart,Navigate,Overview,"Haptic Feedback, Speech, Sonification",Haptic device (AudioTact),Artifact,"Touch, Sound"
Visually impaired,10.1145/1414471.1414489,Refreshable tactile graphics applied to schoolbook illustrations for students with visual impairment,,2008,,,,,,"Students with visual impairment, accessibility, multimodal device, tactile graphics, pedagogy, children with special needs",,,,,,,Visually impaired,Read,"Bar chart, Map",Navigate,Overview,"Tactile graphic, Speech",Audio-tactile device,Artifact,"Touch, Sound"
Visually impaired,10.5220/0001274600590066,A browser extension for providing visually impaired users access to the content of bar charts on the web,,2007,,,,,,"Accessibility, assistive technology, plan recognition, Bayesian networks, graph understanding",,,,,,,Visually impaired,Read,Bar chart,None,Overview,Speech,Screen reader (browser extension),Artifact,Sound
Blind,10.1145/1124706.1121428,Teaching graphs to visually impaired students using an active auditory interface,,2007,,,,,,"Accessibility, C# Programming Language, Audio, Graph.",,,,,,,Blind,Read,Node-link diagram,Navigate,"Overview, Detail","Speech, Sonification","Screen reader, Touch screen tablet",Artifact,Sound
"Blind, Visually impaired",10.1145/1124772.1124941,Feeling what you hear: Tactile feedback for navigation of audio graphs,,2006,,,,,,"Tactile, audio, multimodal, graph, navigation, blind, accessibility, guidelines",,,,,,,"Blind, Visually impaired",Read,"Bar chart, Line chart",Navigate,"Overview, Detail","Tactile graphic, Speech","Touch screen tablet, Screen reader",Artifact,"Touch, Sound"
"Blind, Visually impaired",10.1145/1125451.1125634,Non-visual overviews of complex data sets,,2006,,,,,,"Sonification, tablet, data tables, overview, accessibility",,,,,,,"Blind, Visually impaired",Read,Table,Navigate,Overview,"Sonification, Speech",Touch screen tablet,Artifact,"Touch, Sound"
Visually impaired,10.1145/1182475.1182477,Tac-tiles: Multimodal pie charts for visually impaired users,,2006,,,,,,"Tactile, tangible, graphs, blind, accessibility",,,,,,,Visually impaired,Read,Pie chart,Navigate,"Overview, Detail","Tactile graphic, Sonification, Speech",Touch screen tablet,Artifact,"Touch, Sound"
Blind,10.1145/1090785.1090814,Automating tactile graphics translation,,2005,,,,,,"Tactile graphics, Braille, user study, image processing, ma-chine learning, disability, accessibility",,,,,,,Blind,Read,"Bar chart, Line chart",None,Overview,Tactile graphic,Embosser,Artifact,Touch
Visually impaired,10.1109/IV.2004.1320214,Issues in the non-visual presentation of graph based diagrams,,2004,,,,,,"Visualization , Computer science , Speech , Data mining , Dictionaries , Flowcharts , Biological system modeling , Unified modeling language , Organizational aspects , Nitrogen",,,,,,,Visually impaired,Read,Node-link diagram,None,Overview,"Speech, Sonification",Screen reader,Survey,Sound
"Blind, Low vision",10.1007/3-540-45491-8_99,Evaluation of long descriptions of statistical graphics for blind and low vision web users,,2002,,,,,,"Lesson Plan, Screen Reader, Blind User, Accessibility Guideline, Worcester Polytechnic Institute",,,,,,,"Blind, Low vision",Read,"Line chart, Pie chart, Bar chart, Scatter plot, Map, Table",None,Overview,Speech,Screen reader,Empirical Research,Sound
Visually impaired,10.1145/638249.638261,Multimodal Virtual Reality versus Printed Medium in Visualization for Blind People,,2002,,,,,,"haptics, assistive technology, multimodal interface, human computer interaction, virtual reality",,,,,,,Visually impaired,Read,Bar chart,Navigate,"Overview, Detail","Haptic Feedback, Sonification, Speech",Haptic device,Artifact,"Touch, Sound"
Blind,10.1007/3-540-44589-7_5,Haptic graphs for blind computer users,,2001,,,,,,"Haptics, haptic graphs, assistive technology, visualization, multimodal interaction",,,,,,,Blind,Read,Line chart,Navigate,"Overview, Detail",Haptic Feedback,Haptic device,Artifact,Touch
Blind,10.1145/354324.354330,Constructing sonified haptic line graphs for the blind student: First steps,,2000,,,,,,Force feedback; Haptic display; Line graphs; Spatial sound; Visual impairment,,,,,,,Blind,Read,Line chart,Navigate,"Overview, Detail","Haptic Feedback, Sonification","Haptic device, Sound synthesizer ",Artifact,"Sound, Touch"
Visually impaired,10.1109/86.788473,Design of a haptic data visualization system for people with visual impairments,,1999,,,,,,"Haptics, virtual environment, visualization",,,,,,,Visually impaired,Read,"Scatter plot, Line chart, Surfaces, Surfaces",Navigate,"Overview, Detail","Haptic Feedback, Speech",Haptic device,Artifact,"Touch, Sound"